  4回 | :root | lines=[463, 1040, 1412, 4828]
  3回 | .tagcloud a | lines=[4038, 4798, 4800]
  2回 | #comment-area | lines=[3410, 3443]
  2回 | #main.list-view .custom-post | lines=[5321, 5370]
  2回 | #sidebar-recent-posts | lines=[1514, 1643]
  2回 | .alignleft | lines=[3310, 3631]
  2回 | .alignright | lines=[3305, 3630]
  2回 | .archive-post-info .the-categories a | lines=[3876, 3897]
  2回 | .archive-post-info > h3 a:hover | lines=[3874, 3893]
  2回 | .blog-thumbnail-box | lines=[1532, 3164]
  2回 | .content-box a h2 | lines=[2435, 4696]
  2回 | .dark-theme | lines=[471, 1043]
  2回 | .feature-text-area h3 | lines=[4289, 4483]
  2回 | .foot-socials li | lines=[1349, 2187]
  2回 | .foot-socials ul | lines=[1340, 2178]
  2回 | .form-button | lines=[2910, 2947]
  2回 | .form-button:hover | lines=[2928, 2967]
  2回 | .main-image-container | lines=[5083, 5539]
  2回 | .main-image-slider | lines=[5089, 5589]
  2回 | .more-link2 | lines=[1886, 3216]
  2回 | .more-link2:hover | lines=[1890, 3249]
  2回 | .my-link-black | lines=[1390, 1411]
  2回 | .navg__list ul.sub-menu:not(.mega-sub-menu) | lines=[768, 1264]
  2回 | .navg__list ul.sub-menu:not(.mega-sub-menu) a | lines=[792, 1289]
  2回 | .navg__list>li>a | lines=[746, 1099]
  2回 | .navigation a | lines=[3320, 4795]
  2回 | .page-link | lines=[3337, 4918]
  2回 | .panorama-container | lines=[96, 5516]
  2回 | .popular-post-slider | lines=[2341, 2374]
  2回 | .port-body a | lines=[4802, 4805]
  2回 | .recent-big-content-box h3 a | lines=[1868, 4720]
  2回 | .sidebar-thumbnail-box | lines=[2378, 2394]
  2回 | .slider-container | lines=[4931, 4998]
  2回 | .social-nav a | lines=[2278, 4755]
  2回 | .swiper | lines=[1301, 1337]
  2回 | .thumbnail-container | lines=[5046, 5117]
  2回 | .thumbnail-overlay | lines=[1597, 3169]
  2回 | .thumbnail-slider | lines=[5052, 5127]
  2回 | body | lines=[476, 1370]
  2回 | p | lines=[5242, 5245]
